"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","IUM","preciocompra","precioventa"
"16806","CLINDAMICINA CAPSULAS 300 MG.","LABORATORIOS LA SANTÉ S.A.","INVIMA 2022M-003918-R3","1999-01-01",,"Vigente","16806","1","24","CAJA POR 24 CAPSULAS EN BLISTER PVC TRANSPARENTE/ALUMINIO.","Activo","2006-11-10",,"No","U","J01FF01","CLINDAMICINA","ORAL","A","CLINDAMICINA CLORHIDRATO MONOHIDRATO EQUIVALENTE A CLINDAMICINA BASE","No","300","CÁPSULA","CAPSULA DURA","LABORATORIOS LA SANTÉ S.A.","FABRICANTE","FABRICAR Y VENDER",,"1638","3495"
"19237","RETROVIR IV PARA INFUSION","GLAXOSMITHKLINE COLOMBIA S.A","INVIMA 2017M-005247-R2","1996-07-21",,"Vigente","19237","2","5","CAJA POR 5 FRASCOS VIAL X 20 ML.","Activo","2006-11-10",,"No","U","J05AF01","ZIDOVUDINA","INFUSIÓN INTRAVENOSA","A","ZIDOVUDINA","No","200","CADA VIAL DE 20 ML CON SOLUCION INYECTABLE","SOLUCION INYECTABLE","GLAXO WELLCOME OPERATIONS","FABRICANTE","IMPORTAR Y VENDER",,"11724","27356"
"21531","ENDOXAN ® GRAGEAS 50 MG","BAXTER DEUTSCHLAND GMBH (BDG)","INVIMA 2022M-008010-R4","1995-11-23",,"Vigente","21531","1","50","PRESENTACION COMERCIAL: CAJA PLEGADIZA DE CARTULINA CON 5 BLÍSTER DE PVC/PVDC/ALUMINIO POR 10 GRAGEAS CADA BLÍSTER.","Activo","2006-11-10",,"No","U","L01AA01","CICLOFOSFAMIDA","ORAL","A","CICLOFOSFAMIDA MONOHIDRATO EQUIVALENTE ACICLOFOSFAMIDA BASE","No","50","GRAGEA","TABLETA CUBIERTA (GRAGEA)","HAUPT PHARMA AMAREG. GMBH","FABRICANTE","IMPORTAR Y VENDER",,"1344","2800"
"21534","ENDOXAN 500 MG","BAXTER DEUTSCHLAND GMBH (BDG)","INVIMA 2022M-008011-R4","1995-11-28",,"Vigente","21534","1","1","VIAL DE VIDRIO TIPO I POR 500 MG.","Activo","2006-11-10",,"No","U","L01AA01","CICLOFOSFAMIDA","INTRAVENOSA","A","CICLOFOSFAMIDA MONOHIDRATO EQUIVALENTE A CICLOFOSFAMIDA","No","500","VIAL","POLVO ESTERIL PARA RECONSTITUIR A SOLUCION INYECTABLE","BAXTER ONCOLOGY GMBH","FABRICANTE","IMPORTAR Y VENDER",,"11341","26463"
"22899","SANDIMMUN NEORAL MICROEMULSION","NOVARTIS PHARMA AG","INVIMA 2022M-007777-R3","1997-09-16",,"Vigente","22899","2","1","CAJA FRASCO DE VIDRIO ÁMBAR HIDROLÍTICO TIPO III 50 ML CON TAPÓN DE GOMA BROMOBUTILO Y TAPÓN DE ALUMINIO TIPO TEAR-OFF DESPRENDIBLE. CON TAPA ROSCA.","Activo","2021-07-09",,"No","U","L04AD01","CICLOSPORINA","ORAL","B","CICLOSPORINA A","No","10","100 ML DE EMULSION","EMULSION ORAL","DELPHARM HUNINGUE S.A.S.","FABRICANTE","IMPORTAR Y VENDER",,"4388","7459"
"27207","VESANOID® 10 MG.","CHEPLAPHARM ARZNEIMITTEL GMBH","INVIMA 2022M-004250-R3","1996-02-24",,"Vigente","27207","1","100","CAJA POR UN FRASCO DE VIDRIO COLOR ÁMBAR POR 100 CÁPSULAS BLANDAS.","Activo","2006-11-10",,"No","U","L01XX14","TRETINOIN","ORAL","A","TRETINOINA","No","10","CAPSULA BLANDA","CAPSULA BLANDA","CATALENT GERMANY EBERBACH GMBH","FABRICANTE","IMPORTAR Y VENDER",,"1497","3193"
"9812","METOCARBAMOL TABLETAS 750 MG","MEMPHIS PRODUCTS S.A.","INVIMA 2016 M-002325-R2","1995-07-15",,"Vigente","9812","3","10","CAJA POR 10 TABLETAS EN ENVASE BLISTER ALUMINIO/PVC (INCOLORO).","Activo","2006-11-10",,"No","U","M03BA03","METOCARBAMOL","ORAL","A","METOCARBAMOL","No","750","TABLETA","TABLETA","CLARIPACK S.A.","FABRICANTE","FABRICAR Y VENDER",,"1263","2630"
"11699","KETOPROFENO GEL","GENFAR S.A","INVIMA 2022M-011174-R2","1999-01-01",,"Vigente","11699","2","1","CAJA CON TUBO COLAPSIBLE DE ALUMINIO Y TAPA EN POLIPROPILENO POR 60 G","Activo","2006-11-10",,"No","U","M02AA10","KETOPROFENO","TOPICA (EXTERNA)","D","KETOPROFENO","No","2.5","100 G DE GEL","GEL TOPICO","FAREVA VILLA RICA S.A.S.","FABRICANTE","FABRICAR Y VENDER",,"5682","9659"
"11879","BROMURO DE PANCURONIO 4 MG/2 ML","FEPARVI S.A.S.","INVIMA 2022M-005325-R3","1999-01-01",,"Vigente","11879","1","10","BROMURO DE PANCURONIO 2.0000 MG OTRAS SOLUCIONES INTRAMUSCULAR INTRAVENOSA (FEPARVI) AMPOLLA 2.0000ML / CAJA X 10. CAJA POR 10 AMPOLLAS EN VIDRIO TIPO I POR 2 ML..","Activo","2006-11-10",,"No","U","M03AC01","PANCURONIO","INTRAVENOSA","A","BROMURO DE PANCURONIO","No","4","AMPOLLA POR 2 ML","SOLUCION INYECTABLE","FEPARVI LTDA","IMPORTADOR","IMPORTAR Y VENDER",,"13517","31540"
"27442","PROXIGEL X 20 MG CAPSULAS","EUROFARMA COLOMBIAS.A.S","INVIMA 2019M-009048-R2","2000-03-04",,"Vigente","27442","1","10","CAJA PORSIN DATO 10 CAPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLISTER ALUMINIO/PVC-PVDC.","Activo","2006-11-10",,"No","U","M01AC01","PIROXICAM","ORAL","A","PIROXICAM","No","20","CAPSULA","CAPSULA BLANDA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",,"1654","3528"
